session_id,outcome,color
12102040,5,T
12102041,2,T
12102042,12,CT
12102043,12,CT
12102044,7,T
12102045,3,T
12102046,9,CT
12102047,3,T
12102048,6,T
12102049,4,T
12102050,3,T
12102051,7,T
12102052,1,T
12102053,5,T
12102054,3,T
12102055,13,CT
12102056,4,T
12102057,11,CT
12102058,7,T
12102059,1,T
12102060,10,CT
12102061,0,Bonus
12102062,11,CT
12102063,14,CT
12102064,7,T
12102065,8,CT
12102066,0,Bonus
12102067,9,CT
12102068,0,Bonus
12102069,0,Bonus
12102070,13,CT
12102071,6,T
12102072,2,T
12102073,9,CT
12102074,1,T
12102075,14,CT
12102076,5,T
12102077,9,CT
12102078,2,T
12102079,8,CT
12102080,0,Bonus
12102081,3,T
12102082,3,T
12102083,2,T
12102084,1,T
12102085,3,T
12102086,2,T
12102087,9,CT
12102088,6,T
12102089,10,CT
12102090,5,T
12102091,1,T
12102092,7,T
12102093,9,CT
12102094,9,CT
12102095,4,T
12102096,6,T
12102097,3,T
12102098,5,T
12102099,5,T
12102100,9,CT
12102101,13,CT
12102102,5,T
12102103,13,CT
12102104,8,CT
12102105,4,T
12102106,12,CT
12102107,1,T
12102108,2,T
12102109,2,T
12102110,2,T
12102111,7,T
12102112,2,T
12102113,10,CT
12102114,2,T
12102115,9,CT
12102116,2,T
12102117,5,T
12102118,14,CT
12102119,1,T
12102120,3,T
12102121,8,CT
12102122,14,CT
12102123,8,CT
12102124,10,CT
12102125,12,CT
12102126,0,Bonus
12102127,1,T
12102128,7,T
12102129,14,CT
12102130,8,CT
12102131,0,Bonus
12102132,2,T
12102133,6,T
12102134,0,Bonus
12102135,7,T
12102136,11,CT
12102137,14,CT
12102138,0,Bonus
12102139,1,T
12102140,1,T
12102141,4,T
12102142,1,T
12102143,14,CT
12102144,10,CT
12102145,2,T
12102146,7,T
12102147,1,T
12102148,14,CT
12102149,12,CT
12102150,14,CT
12102151,10,CT
12102152,3,T
12102153,14,CT
12102154,7,T
12102155,2,T
12102156,0,Bonus
12102157,3,T
12102158,0,Bonus
12102159,4,T
12102160,13,CT
12102161,7,T
12102162,0,Bonus
12102163,1,T
12102164,5,T
12102165,2,T
12102166,3,T
12102167,10,CT
12102168,8,CT
12102169,8,CT
12102170,7,T
12102171,0,Bonus
12102172,9,CT
12102173,6,T
12102174,7,T
12102175,6,T
12102176,2,T
12102177,2,T
12102178,11,CT
12102179,0,Bonus
12102180,3,T
12102181,13,CT
12102182,10,CT
12102183,13,CT
12102184,2,T
12102185,3,T
12102186,0,Bonus
12102187,2,T
12102188,6,T
12102189,4,T
12102190,4,T
12102191,2,T
12102192,9,CT
12102193,10,CT
12102194,5,T
12102195,4,T
12102196,2,T
12102197,9,CT
12102198,8,CT
12102199,9,CT
12102200,6,T
12102201,0,Bonus
12102202,5,T
12102203,13,CT
12102204,4,T
12102205,6,T
12102206,1,T
12102207,5,T
12102208,12,CT
12102209,4,T
12102210,10,CT
12102211,14,CT
12102212,1,T
12102213,4,T
12102214,3,T
12102215,6,T
12102216,14,CT
12102217,13,CT
12102218,12,CT
12102219,1,T
12102220,9,CT
12102221,14,CT
12102222,14,CT
12102223,12,CT
12102224,0,Bonus
12102225,2,T
12102226,2,T
12102227,10,CT
12102228,2,T
12102229,10,CT
12102230,6,T
12102231,8,CT
12102232,0,Bonus
12102233,12,CT
12102234,3,T
12102235,13,CT
12102236,13,CT
12102237,3,T
12102238,4,T
12102239,0,Bonus
12102240,13,CT
12102241,5,T
12102242,13,CT
12102243,1,T
12102244,0,Bonus
12102245,10,CT
12102246,13,CT
12102247,8,CT
12102248,4,T
12102249,0,Bonus
12102250,8,CT
12102251,11,CT
12102252,10,CT
12102253,7,T
12102254,2,T
12102255,14,CT
12102256,2,T
12102257,1,T
12102258,3,T
12102259,1,T
12102260,10,CT
12102261,10,CT
12102262,0,Bonus
12102263,1,T
12102264,14,CT
12102265,2,T
12102266,5,T
12102267,2,T
12102268,10,CT
12102269,12,CT
12102270,13,CT
12102271,8,CT
12102272,8,CT
12102273,12,CT
12102274,8,CT
12102275,12,CT
12102276,13,CT
12102277,2,T
12102278,12,CT
12102279,6,T
12102280,2,T
12102281,11,CT
12102282,2,T
12102283,4,T
12102284,2,T
12102285,4,T
12102286,3,T
12102287,10,CT
12102288,7,T
12102289,1,T
12102290,1,T
12102291,8,CT
12102292,3,T
12102293,13,CT
12102294,2,T
12102295,4,T
12102296,13,CT
12102297,12,CT
12102298,2,T
